DATE,AAPL US Equity,GOOG US Equity,MSFT US Equity,IBM US Equity,GE US Equity,UKX Index,SPX Index,SPTSX Index,DJI Index,DAX Index
2000-02-10,4.0223,#N/A N/A,52,117.375,42.9559,6315.4,1411.7,9255.22,10699.17,7629.11
2000-02-11,4.0536,#N/A N/A,53,119.125,43.3965,6279.8,1416.83,9321,10643.64,7709.27
2000-02-14,3.8839,#N/A N/A,49.9688,115.375,42.8558,6193.3,1387.12,9156.7,10425.22,7611.55
2000-02-15,4.1362,#N/A N/A,49.8125,116.0625,43.0561,6068.6,1389.94,9314.54,10519.85,7644.8
2000-02-16,4.25,#N/A N/A,49.2813,117.125,44.0574,6005.2,1402.05,9356.06,10718.1,7396.13
2000-02-17,4.0759,#N/A N/A,48.8125,115.75,43.4666,6147.4,1387.67,9428.61,10561.42,7490.32
2000-02-18,4.1027,#N/A N/A,49.8125,116.75,41.9746,6209.3,1388.26,9463.54,10514.57,7580.53
2000-02-21,4.1027,#N/A N/A,49.8125,116.75,41.9746,6165,1388.26,9295.51,10514.57,7573.78
2000-02-22,3.9732,#N/A N/A,47.5313,112.5,40.0922,6081.6,1346.09,9231.16,10219.53,7590.53
2000-02-23,4.0647,#N/A N/A,46.9063,111,41.5341,6014.7,1352.17,9194.86,10304.85,7607.94
2000-02-24,4.1518,#N/A N/A,47.125,108.75,41.8144,6144.1,1360.69,9314.96,10225.73,7698.97
2000-02-25,4.1144,#N/A N/A,47.375,110.5,41.9746,6086.7,1353.43,9214.18,10092.64,7640.53
2000-02-28,3.942,#N/A N/A,45.6563,108,40.4126,6198,1333.36,9141.17,9862.12,7738.68
2000-02-29,4.0446,#N/A N/A,45.7813,104.5,41.474,6099.6,1348.05,9223.42,10038.66,7587.13
2000-03-01,4.0938,#N/A N/A,44.6875,102.75,42.4152,6232.6,1366.42,9128.99,10128.31,7644.55
2000-03-02,4.654,#N/A N/A,45.4063,100.25,42.0948,6364.9,1379.19,9411.58,10137.93,7727.93
2000-03-03,4.3571,#N/A N/A,46.6875,103.125,43.3202,6432.1,1381.76,9516.06,10164.92,7945.77
2000-03-06,4.5714,#N/A N/A,48.0625,108,44.6581,6487.5,1409.17,9462.9,10367.2,7960.03
2000-03-07,4.4888,#N/A N/A,45.3125,103.0625,44.0373,6567.8,1391.28,9580.87,10170.51,7975.78
2000-03-08,4.3884,#N/A N/A,46.4375,102.75,41.6342,6466.5,1355.62,9425.48,9796.04,8064.97
2000-03-09,4.3571,#N/A N/A,47.7813,106.25,41.7544,6411.2,1366.7,9281.14,9856.54,7987
2000-03-10,4.3661,#N/A N/A,50,108,41.3338,6532.1,1401.69,9413.67,10010.73,7949.15
2000-03-13,4.4911,#N/A N/A,50.5,105.25,42.1949,6568.7,1395.07,9487.1,9928.83,7975.95
2000-03-14,4.3326,#N/A N/A,49,107.6875,41.474,6466.9,1383.62,9461.57,9947.13,7693.85
2000-03-15,4.0804,#N/A N/A,47.5625,108.625,40.693,6487.1,1359.15,9393.83,9811.24,7650.05
2000-03-16,4.1518,#N/A N/A,47.6875,107,42.7957,6447,1392.15,9293.61,10131.42,7414.46
2000-03-17,4.3415,#N/A N/A,47.6875,109,44.538,6557.2,1458.47,9488.04,10630.61,7583.96
2000-03-20,4.4643,#N/A N/A,49.6875,110,44.8183,6558,1464.47,9528.81,10595.24,7710.92
2000-03-21,4.3929,#N/A N/A,48.6875,112.75,45.1588,6624.5,1456.63,9568.33,10680.25,7872.38
2000-03-22,4.8192,#N/A N/A,51.375,113.5,48.2228,6617.9,1493.87,9651.4,10907.35,7807.93
2000-03-23,5.1496,#N/A N/A,51.625,114.25,48.3429,6609.6,1500.64,9871.55,10866.7,7798.62
2000-03-24,5.0469,#N/A N/A,55.9375,115.25,51.2667,6594.6,1527.35,9990.13,11119.86,7694.78
2000-03-27,4.9531,#N/A N/A,55.8438,120.625,50.9664,6738.5,1527.46,10052.68,11112.73,7932.42
2000-03-28,4.9844,#N/A N/A,52.0313,126.875,50.6059,6687.2,1523.86,10043.04,11025.86,7892.49
2000-03-29,4.9688,#N/A N/A,52.1563,122.5,49.9851,6650.1,1507.73,9922.85,10936.12,7931.93
2000-03-30,4.8549,#N/A N/A,53.5938,119,52.228,6598.8,1508.52,9702.16,11018.72,7864.76
2000-03-31,4.4911,#N/A N/A,51.6875,122.75,50.8662,6445.2,1487.92,9394.02,10980.25,7644.89
2000-04-03,4.8504,#N/A N/A,53.125,118.375,49.8649,6540.2,1498.58,9462.39,10921.93,7599.39
2000-04-04,4.7612,#N/A N/A,45.4375,122,51.5872,6462.1,1505.97,9374.73,11221.94,7429.22
2000-04-05,4.5469,#N/A N/A,44.2813,121.1875,49.3442,6427,1494.73,9141.84,11164.85,7522.8
2000-04-06,4.6563,#N/A N/A,43.1875,125,49.124,6379.3,1487.37,9226.53,11033.93,7330.77
2000-04-07,4.471,#N/A N/A,43,122.75,50.2654,6451.1,1501.34,9441.27,11114.28,7446.21
2000-04-10,4.7054,#N/A N/A,44.5313,123.125,50.8862,6569.9,1516.35,9465.19,11111.49,7522.2
2000-04-11,4.4643,#N/A N/A,43.0313,122.125,51.0865,6533.4,1504.46,9460.94,11186.57,7516.95
2000-04-12,4.2656,#N/A N/A,41.9375,119.375,51.7874,6379.2,1500.59,9358.03,11287.09,7442.66
2000-04-13,3.9018,#N/A N/A,39.6875,113.75,50.2254,6350.8,1467.17,9047.67,11125.14,7443.07
2000-04-14,4.0647,#N/A N/A,39.625,110.625,48.2228,6357,1440.51,8965.41,10923.55,7449.06
2000-04-17,3.9955,#N/A N/A,37.0625,105,46.7008,6178.1,1356.56,8473.51,10305.78,7214.83
2000-04-18,4.4241,#N/A N/A,37.9375,111.875,48.7034,5994.6,1401.44,8769.56,10582.52,7187.14
2000-04-19,4.5313,#N/A N/A,40.2813,111.5,50.1453,6074,1441.61,9069.5,10767.42,7196.49
2000-04-20,4.3259,#N/A N/A,39.3438,105,49.8249,6184.9,1427.47,9034.01,10674.97,7216.71
2000-04-21,4.3259,#N/A N/A,39.3438,105,49.8249,6184.9,1427.47,9034.01,10674.97,7216.71
2000-04-24,4.2455,#N/A N/A,39.4688,104,50.7861,6184.9,1434.54,8959.69,10844.06,7216.71
2000-04-25,4.3036,#N/A N/A,33.3125,106.5,51.9276,6241.2,1429.86,8822.48,10906.1,7157.95
2000-04-26,4.5826,#N/A N/A,34.6875,112.5,53.1892,6283,1477.44,9108.41,11124.83,7280.51
2000-04-27,4.3326,#N/A N/A,34,110.5,52.3081,6256.5,1460.99,9378,10945.5,7388.55
2000-04-28,4.5268,#N/A N/A,34.9063,110.625,51.7474,6179.3,1464.92,9322.66,10888.11,7221.74
2000-05-01,4.4308,#N/A N/A,34.875,111.5,50.3856,6179.3,1452.43,9347.61,10733.92,7221.74
2000-05-02,4.4397,#N/A N/A,36.7188,112,51.0665,6327.4,1468.25,9527.26,10811.79,7414.68
2000-05-03,4.2098,#N/A N/A,34.9375,111.375,51.6072,6373.4,1446.29,9510.28,10731.13,7555.92
2000-05-04,4.1094,#N/A N/A,35.2813,108.125,50.0051,6184.8,1415.1,9291.31,10480.13,7376.93
2000-05-05,3.9531,#N/A N/A,35.2188,107.625,49.3442,6199.6,1409.57,9414.05,10412.5,7386.71
2000-05-08,4.0402,#N/A N/A,35.5625,107.875,50.6259,6238.8,1432.63,9597.32,10577.86,7530.82
2000-05-09,3.933,#N/A N/A,34.9063,109.75,50.4056,6216.3,1424.17,9337.54,10603.64,7408.09
2000-05-10,3.7656,#N/A N/A,33.9063,109,50.1052,6123.8,1412.14,9294.39,10536.75,7280.54
2000-05-11,3.5469,#N/A N/A,33.0938,103,48.6634,6100.6,1383.05,9097.1,10367.79,7120.86
2000-05-12,3.6719,#N/A N/A,33.9375,104.4375,48.9637,6245.9,1407.81,9132.61,10545.97,7259.48
2000-05-15,3.8438,#N/A N/A,34.4063,104.4375,50.2254,6283.5,1420.96,9211.8,10609.37,7269.28
2000-05-16,3.6071,#N/A N/A,34.6875,104.1875,51.9076,6247.7,1452.36,9281.89,10807.78,7195.15
2000-05-17,3.7746,#N/A N/A,34.75,109,52.1479,6318.4,1466.04,9582.03,10934.57,7371.06
2000-05-18,3.6205,#N/A N/A,33.8438,107.875,51.5471,6196.2,1447.8,9552.83,10769.74,7211.51
2000-05-19,3.5982,#N/A N/A,33.0938,106.0625,51.0665,6232.9,1437.21,9549.85,10777.28,7181.58
2000-05-22,3.3571,#N/A N/A,32.5313,106.4375,49.8649,6045.4,1406.95,9549.85,10626.86,6989.03
2000-05-23,3.2121,#N/A N/A,32.0938,109.25,48.0626,6035.5,1400.72,9293.14,10542.55,6912.96
2000-05-24,3.0647,#N/A N/A,31.5938,107.375,48.0626,6086.8,1373.86,8986.58,10422.28,6927.69
2000-05-25,3.1317,#N/A N/A,32.7813,109.625,48.7835,6118.6,1399.05,9144.16,10535.35,6834.88
2000-05-26,3.1166,#N/A N/A,30.75,106.5,48.7835,6231.1,1381.52,9043.7,10323.92,6978.87
2000-05-29,3.1166,#N/A N/A,30.75,106.5,48.7835,6231.1,1381.52,9020.88,10323.92,6938.33
2000-05-30,3.0848,#N/A N/A,30.7188,106.9375,47.642,6216.9,1378.02,9060.05,10299.24,7016.66
2000-05-31,3.1272,#N/A N/A,31.6875,110.9375,49.2641,6359.6,1422.45,9344.13,10527.14,7119.26
2000-06-01,3,#N/A N/A,31.2813,107.3125,50.5859,6359.3,1420.6,9251.99,10522.34,7109.67
2000-06-02,3.183,#N/A N/A,32.2813,106,50.3455,6470.5,1448.81,9552.24,10652.2,7272.76
2000-06-05,3.3058,#N/A N/A,33.1563,108.8125,50.706,6626.4,1477.26,9747.67,10794.76,7438.95
2000-06-06,3.2612,#N/A N/A,33.4375,112.8125,49.5645,6546.7,1467.63,9679.65,10815.31,7408.02
2000-06-07,3.317,#N/A N/A,34.8125,112.375,49.2041,6546.8,1457.84,9609.94,10735.58,7359.8
2000-06-08,3.4487,#N/A N/A,35.25,121,49.3843,6503.8,1471.36,9557.65,10812.87,7292.98
2000-06-09,3.3862,#N/A N/A,34.4063,119.75,48.9037,6496.6,1461.67,9652.39,10668.73,7243.13
2000-06-12,3.4196,#N/A N/A,34.4063,119.6875,47.9424,6443.8,1456.95,9728.84,10614.07,7254.53
2000-06-13,3.2567,#N/A N/A,33.4375,118.8359,47.9424,6430.9,1446,9819.63,10564.21,7235.64
2000-06-14,3.375,#N/A N/A,33.9375,119.3125,49.2041,6447.1,1469.44,9836.5,10621.85,7268.91
2000-06-15,3.2299,#N/A N/A,35.25,116,49.0238,6536.3,1470.54,9972.06,10687.96,7350.94
2000-06-16,3.2991,#N/A N/A,36.1875,116.8125,49.8649,6490.8,1478.73,10110.56,10714.83,7328.62
2000-06-19,3.2567,#N/A N/A,36.2813,113.25,49.144,6526,1464.46,10035.66,10449.31,7131.4
2000-06-20,3.4509,#N/A N/A,36.8438,120.375,48.3029,6490.2,1486,10136.81,10557.85,7198.8
2000-06-21,3.6161,#N/A N/A,37.4688,116.375,49.0238,6526.9,1475.95,10239.88,10435.17,7227.27
2000-06-22,3.9732,#N/A N/A,40.3438,114.5,47.5219,6477.8,1479.13,10197.27,10497.75,7100.09
2000-06-23,3.8393,#N/A N/A,39.9375,111.8125,46.861,6413.8,1452.18,10064.46,10376.12,7053.67
2000-06-26,3.692,#N/A N/A,38.8438,111.875,47.9424,6391.5,1441.48,10091.09,10404.76,6980.41
2000-06-27,3.8661,#N/A N/A,39.75,114.4063,48.0025,6405.2,1455.31,10227.39,10543,7027.19
2000-06-28,3.6964,#N/A N/A,39.4063,109.75,47.3416,6375.3,1450.55,10165.51,10504.47,7048.96
2000-06-29,3.8884,#N/A N/A,39.4688,113.7813,48.5845,6313.5,1454.82,10231.33,10527.8,7056.05
2000-06-30,3.6607,#N/A N/A,38.5938,114,47.8223,6239,1442.39,10110.98,10398.04,6874.54
2000-07-03,3.7411,#N/A N/A,40,109.5625,50.9463,6312.7,1454.6,10110.98,10447.9,6898.21
2000-07-04,3.7411,#N/A N/A,40,109.5625,50.9463,6470.4,1454.6,10195.45,10447.9,6958.96
2000-07-05,3.808,#N/A N/A,40,109.5,49.9851,6417,1469.54,10301.41,10560.68,6944.36
2000-07-06,3.6875,#N/A N/A,39.25,105,48.0025,6382.5,1446.23,10323.75,10483.6,6961.73
2000-07-07,3.7009,#N/A N/A,40.4688,101.25,48.2428,6419.6,1456.67,10242.56,10481.48,6951.09
2000-07-10,3.8884,#N/A N/A,41,105.0625,49.3242,6497.5,1478.9,10380.28,10635.99,7052.22
2000-07-11,4.0804,#N/A N/A,39.7188,103.3125,50.4056,6466.2,1475.62,10235.39,10646.59,7070.82
2000-07-12,4.067,#N/A N/A,39.5625,102,50.2254,6475.8,1480.88,10350.27,10727.19,7003.98
2000-07-13,4.2054,#N/A N/A,40.1563,104.625,51.6673,6518.5,1492.92,10572.85,10783.42,7065.97
2000-07-14,4.0357,#N/A N/A,39.9688,104,50.4657,6475.7,1495.84,10679.32,10788.72,7195.99
2000-07-17,4.1205,#N/A N/A,39.4688,103.9375,49.5044,6475.4,1509.98,10778.8,10812.75,7318.38
2000-07-18,4.1652,#N/A N/A,39.0938,105.5,51.6072,6525.5,1510.49,10844.52,10804.27,7430.7
2000-07-19,4.0893,#N/A N/A,39.25,103.3125,50.2254,6450.5,1493.74,10735.47,10739.92,7406.91
2000-07-20,3.7634,#N/A N/A,36.5625,108.75,50.706,6465.4,1481.96,10633.15,10696.08,7366.57
2000-07-21,3.9375,#N/A N/A,37.4063,117.25,52.208,6469,1495.57,10740.8,10843.87,7480.14
2000-07-24,3.8259,#N/A N/A,36.1563,114.75,52.0277,6378.4,1480.19,10842.08,10733.56,7373.26
